成果発生年度,発表区分,国内/国際,国際共著,タイトル,著者,会議名,DOI,発表年月日,掲載巻,掲載号,掲載開始ページ,掲載終了ページ,論文ステータス区分
2022,ポスター・デモ,国内,有,Semiparametric Contextual Best Arm Identification with a Fixed Budget,"加藤 真大, 今泉 允聡, 石原卓弥, 北川透",IBIS2022,,2022/11/21,,,,,
2022,ポスター・デモ,国内,無,Dynamics of Deep Neural Network: A Functional and Diffusion ProcessApproach,"西澤 渉, 今泉 允聡",IBIS2022,,2022/11/22,,,,,
2023,ポスター・デモ,国内,無,ニューラルネットワークの完全整数学習のためのオプティマイザ,"劉 世芾, 金子 竜也, 高前田 伸也","The 5th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming (xSIG 2023)",,2023/08/02,,,,,
2023,ポスター・デモ,国内,無,高精度な低ビット幅ベイジアンニューラルネットワークの検討,"菅 研吾, 平山 侑樹, 金子 竜也, 高前田 伸也","The 5th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming (xSIG 2023)",,2023/08/02,,,,,
2023,ポスター・デモ,国内,無,IPコア間の隠れ通信路,薄井 真之,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,スケラーブルなwiredアクセラレータ,尾崎 巧基,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,ビットレベルの早期終了を用いた高性能な決定木アンサンブルアクセラレータ,篤田 大知,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,軽量Edge-Popupアルゴリズムによるハードウェア効率の高い転移学習,穴田 穂乃香,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,メモリ整合性検証機構を有するハードウェア高位合成,長谷 知弥,フォレストワークショップ2024,,2024/03/30,,,,,
2023,ポスター・デモ,国内,無,高精度三次元地図を利用した高精度GNSSプローブデータの検証,外谷 新,フォレストワークショップ2024,,2024/03/30,,,,,
2024,ポスター・デモ,国内,無,Bit-parallel型Computing In-Memory processorのための電流時間積分型ドライバ,"宮城 賢美, 安藤 慎平, 張 文倫, 吉岡 健太郎",LSIワークショップ,,2024/05/01,,,,,
2024,ポスター・デモ,国内,無,Saliency-aware Fully-Analog Computing In-Memory型低消費電力AIアクセラレータ,"安藤 慎平, 宮城 賢美, 張 文倫, 吉岡 健太郎",LSIワークショップ,,2024/05/01,,,,,
2024,ポスター・デモ,国内,無,How to Know You: From Server’s View to Client Data Distribution Too,"金子 竜也, 高前田 伸也","The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming (xSIG 2024)",,2024/08/07,,,,,
2024,ポスター・デモ,国内,無,確率的デバイスにおける大規模言語モデルの信頼性評価,"薄井 真之, 金子 竜也, 高前田 伸也","The 6th cross-disciplinary Workshop on Computing Systems, Infrastructures, and Programming (xSIG 2024)",,2024/08/07,,,,,
