成果発生年度,著作物種別,タイトル,著者,掲載誌,DOI,発行年月日,備考
2021,書籍,ニューラルネットワークとディープラーニング,"Charu C.Aggarwal (著), 竹村 彰通, 今泉 允聡 (監修)",,,2022/03/30,
2022,書籍,応用基礎としてのデータサイエンス AI×データ活用の実践,"赤穂 昭太郎, 今泉 允聡, 内田 誠一, 清 智也, 高野 渉, 辻 真吾, 原 尚幸, 久野 遼平, 松原 仁, 宮地 充子, 森畑 明昌, 宿久 洋",,,2023/02/16,
2023,総説,[次世代エース] GNSSでの地すべり災害監視システムの研究,瀬川 佳祐,トラ技Jr. 2023年夏号 (No. 54),,2023/06/30,
2023,書籍,人工知能とどうつきあうか: 哲学から考える,"鈴木 貴之, 柴田 崇, 今泉 允聡, 大塚 淳, 中澤 栄輔, 小野 哲雄, 植原 亮, 立花 幸司, 上杉 繁, 堀浩一, 関口 海良",人工知能とどうつきあうか: 哲学から考える,,2023/07/18,
2023,総説,ロボットシステム向けのプラットフォーム技術と組込み／ IoT コンピューティングへの展開,高瀬 英希,システム制御情報学会学会誌「システム／制御／情報」,,2023/12/15,
2023,総説,第1章 高精度GPS測位で地すべり監視に挑戦,"瀬川 佳祐, 木谷 友哉",トランジスタ技術 2024年2月号,,2024/01/10,特集 日本を元気に！ cm級GPS革命第2部 高精度cm級GPSで土地や国土を測る
2023,総説,Appendix1 「GPS時刻」をカメラ撮影画像に写し込む装置の製作,"曽根 卓朗, 木谷 友哉",トランジスタ技術 2024年2月号,,2024/01/10,特集 日本を元気に！ cm級GPS革命第2部 高精度cm級GPSで土地や国土を測る
2023,書籍,Elixir実践入門――基本文法、Web開発、機械学習、IoT,栗林 健太郎，大原 常徳，大聖寺 谷一樹，山内 修，齋藤 和也，隆藤 唯章，高瀬 英希,,,2024/02/24,
2024,総説,高精度衛星測位を応用した位置情報サービス実証事例紹介,木谷 友哉,日本航海学会誌 NAVIGATION,https://doi.org/10.18949/jinnavi.228.0_17,2024/06/27,
